Co. Corp TKR,Total,Banks,Financial Services,Diversified Banks,Consumer Finance,Utilities,Real Estate,Supranationals,Industrial Other,Commercial Finance,Government Development Banks,Consumer Services,Transportation & Logistics,Power Generation,Automobiles Manufacturing,Chemicals,Food & Beverage,Life Insurance,Metals & Mining,Machinery Manufacturing,Wireless Telecommunications Services,Electrical Equipment Manufacturing,Exploration & Production,Property & Casualty Insurance,Software & Services,Health Care Facilities & Services,Retail - Consumer Discretionary,Travel & Lodging,Pipeline,Pharmaceuticals,Wireline Telecommunications Services,Integrated Oils,Construction Materials Manufacturing,Hardware,Airlines,Coal Operations,Homebuilders,Oil & Gas Services & Equipment,Supermarkets & Pharmacies,Railroad,Auto Parts Manufacturing,Others,<blank>
MRUCN,2074137600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2074137600,,,,
MRTUCN,139242600,,,,,,139242600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRTSP,378726000,,,,,,,,,,,,378726000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRTBBZ,9254068,,9254068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRTAUT,461210745,,461210745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRT,826877000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826877000,,,
MRSLOG,383999215,,,,,,,,,,,,,,,,,,,,,,,,,,,383999215,,,,,,,,,,,,,,,
MRPTBZ,18508260,,,,,,18508260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRO,5536978000,,,,,,,,,,,,,,,,,,,,,,5300000000,,,,,,,,,236978000,,,,,,,,,,,
MRNNZ,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRNLP,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRNGST,554000,,554000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRLSM,3987717500,,,,,,3987717500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRLNIN,39391900,,,,,,,,,,,,39391900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRLEBZ,40101230,,,,,,,,40101230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRKYRM,87709000,,,,,87709000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRKURM,114826140,,,,,114826140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRKTST,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRKKRM,23487165,,,,,23487165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRKHRU,261688000,,,,,261688000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRKGUN,35307373,,35307373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRKGR,8989247300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8989247300,
MRKBYG,88645900,,,,,,88645900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRKAND,2497545,2497545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRK,23708905000,,,,,,,,,,,,,,,,,,,,,,,,,3045047000,,,,20663858000,,,,,,,,,,,,,
MRIYA,400000000,,,,,,,,,,,,,,,,400000000,,,,,,,,,,,,,,,,,,,,,,,,,,
MRHYGR,12269900,,,,,,,,,,,,,12269900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRGUCN,47942460,,,,,,47942460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRGBNK,75464400,75464400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRFIN,77973000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77973000,,
MRFGBZ,2550699470,,,,,,,,,,,,,,,,2550699470,,,,,,,,,,,,,,,,,,,,,,,,,,
MREDTH,9250000,,9250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MREALT,11015000,,,,,,11015000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRDGF,1779135500,,,,,1779135500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRD,590000,,,,,,,,,,,,,,,,,,,,,,590000,,,,,,,,,,,,,,,,,,,,
MRCY,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
MRCWES,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRCURE,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRCSBZ,7336080,,,,,,7336080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRCOOP,151490400,,151490400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRCN,43431504,,,,,,43431504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRCMK,469221236,,,,,,202554404,,,,,,266666832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRCLN,242795000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242795000,
MRCH,41622000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41622000,
MRCCN,426358320,,,,,,426358320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRANOL,5358815,,,,,,,,,,,,,,,5358815,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRAECO,12505212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12505212,
MRACLZ,277893600,,277893600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MQGAU,27084352188,19702722720,444218868,6937410600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
MQDC,125323230,,,,,,125323230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPW,3926990000,,,,,,3926990000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPVITA,5595074,,,,,,,,,,,,,,,,,5595074,,,,,,,,,,,,,,,,,,,,,,,,,
MPVDCN,330000000,,,,,,,,,,,,,,,,,,330000000,,,,,,,,,,,,,,,,,,,,,,,,
MPTBIS,1785000,,1785000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPSSTR,14980000,,14980000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPSFFL,36809700,,36809700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPRMK,25542800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25542800,
MPRK,12474000,,,,,,,,,,,12474000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPRICH,24640000,,24640000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPO,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
MPMXIJ,22158210,,22158210,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPMSP,37872600,,,,,,,,,,,,37872600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPLX,6786281000,,,,,,,,,,,,,,,,,,,,,,,,,,,,6786281000,,,,,,,,,,,,,,
MPKGRP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
MPIPM,426872458,,,,,426872458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPGPST,2760728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2760728,
MPG,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
MPFCIN,33194666,,33194666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPEWKT,12269900,,12269900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPEL,1000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000000,
MPCO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
MPCF,377787300,,377787300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPCCME,200000000,,,,,,,,,,,,200000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPC,5699995000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5699995000,
MPAUSA,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MPARIN,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZART,640900000,,640900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZABC,12294075,12294075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOYPRK,417056096,,,,,,,,,,,,,,,,417056096,,,,,,,,,,,,,,,,,,,,,,,,,,
MOYLE,87263491,,,,,87263491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOVIBZ,122968250,,,,,,,,,,,,,,,,,,,,,,,,,,122968250,,,,,,,,,,,,,,,,
MOVE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
MOUTAG,8250000,,8250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOUSTA,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
MOUNST,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
MOTPLS,53571000,53571000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR,200000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000000,
MOTOPG,5317921122,,,,,,,,,,,5317921122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOIN,208110000,,,,,,,,,,,,208110000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTODO,13279690,13279690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTIRL,67484450,,67484450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTHER,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTAEN,55214550,,,,,,,,55214550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOSTIN,31189200,,31189200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOSKBO,127874000,,,,,,127874000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOSCON,31832400,,,,,,,,31832400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOS,4236100000,,,,,,,,,,,,,,,4236100000,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORVAL,7000000,,7000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORUS,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORTRA,3405000,,,,,,,,,,,,3405000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORTI,56400000,,,,,,,,,,,,56400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORTEL,73860700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73860700,,,,,,,,,,,,
MORTCJ,91257500,,,,91257500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORSEI,273772500,,,,,,,,,,,,,,,,,,,273772500,,,,,,,,,,,,,,,,,,,,,,,
MORRBZ,31331175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31331175,
MORITR,118726550,,,,,,118726550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORIRT,255778040,,,,,,255778040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORINT,22569000,,,,,,,,,,,,,,,22569000,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORIBL,1178819070,,,,,,1178819070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORGNO,1035892098,1035892098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORGIN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
MOREMO,8735591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8735591,
MOREBO,2351539650,2351539650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORDET,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
MORBER,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
MOOPRO,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOOORT,9400000,,9400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOONDC,2800000,,2800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONXH,80451450,,80451450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONUBK,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTPI,3803669000,3803669000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTLA,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTIN,14035140,,,,,,,,14035140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTEC,2471000,,2471000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTE,39725498921,37823664421,0,,,,,,,1901834500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTBB,134968900,,,,,,134968900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTAR,127969,,,,,,,,,,,,,,,,127969,,,,,,,,,,,,,,,,,,,,,,,,,,
MONS,5769785,5769785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONONG,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONOME,12663700,12663700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONMIN,607466000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607466000,,,,,,,
MONMED,267755000,,,,,,,,,,,,,,,,,,,,,,,,,267755000,,,,,,,,,,,,,,,,,
MONMAN,8770900,,,,8770900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONLIS,25000000,,,,,,,,,,,,,,,,,,,,,,,25000000,,,,,,,,,,,,,,,,,,,
MONINT,585000000,,,,,,,,,,,585000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONILN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
MONEXG,59344915,,59344915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONENE,443448298,,,,,,,,,,,,,,,,,,443448298,,,,,,,,,,,,,,,,,,,,,,,,
MONDIA,2000000,,,,,,,,,,,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONCRI,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONBIO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
MONBAE,4631560,,,,,,,,,,,,,,,,,,4631560,,,,,,,,,,,,,,,,,,,,,,,,
MONAMI,20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000,
MON,7164490000,,,,,,,,,,,,,,,7014490000,150000000,,,,,,,,,,,,,,,,,,,,,,,,,,
MOMNE,12637997,,12637997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOMILK,410842350,,,,,,,,,,,,,,,,410842350,,,,,,,,,,,,,,,,,,,,,,,,,,
MOMENT,1301577000,,,,,,,,,,,,,,,1301577000,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOLYME,108344628,,,,,,,,,,,,,,,,,,108344628,,,,,,,,,,,,,,,,,,,,,,,,
MOLX,1100000000,,,,,,,,,,,,,,,,,,,,,1100000000,,,,,,,,,,,,,,,,,,,,,
MOLNLY,1840485000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840485000,
MOLINA,4110417,,,,,,,,,,,,,,,,,,,,,,,,,,4110417,,,,,,,,,,,,,,,,
MOLHB,1420242500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420242500,,,,,,,,,,,
MOLGUP,127379200,,,,,,,,,,,,,,,,,,,,,,,,,,127379200,,,,,,,,,,,,,,,,
MOLGAR,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOLGAA,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOLAND,730000000,,,,,,730000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOINIA,400657600,,,,,,400657600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOIBRU,52625400,52625400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOHRGR,6200000,,,,,,6200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOHOFI,209355000,,,,,,,,,209355000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOHGA,429446500,,429446500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOHEGN,500000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000000,
MOH,1740263000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1740263000,
MOGOJ,36809700,,36809700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOGOCN,11985615,,,,11985615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOGA,300000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000000,
MOFABS,92631200,,92631200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOESEN,30392880,,,,,,30392880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MODUM,174884315,,,,174884315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MODUEN,94533299,,,,,,94533299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MODSPA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
MODL,250000000,,,,,,,,,,,,,,,,,,,,,,,,250000000,,,,,,,,,,,,,,,,,,
MODGLA,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MODFAR,454193100,,,,,,,,,,,,,,,,454193100,,,,,,,,,,,,,,,,,,,,,,,,,,
MODBRM,1840485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840485,
MODAIN,2651082,,2651082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MODACO,57616606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57616606,
MOD,105000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105000000,,
MOBYIT,368097000,,,,,,,,,,,,368097000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOBTEL,806886000,,,,,,,,,,,,,,,,,,,,806886000,,,,,,,,,,,,,,,,,,,,,,
MOBSS,74556600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74556600,,,,,,,,,,,,,
MOBNSW,787580800,,,,,,787580800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOBMAN,5645000,,5645000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOBLUX,466256200,,,,,,,,,,,,,,,,,,,,,,,,,,466256200,,,,,,,,,,,,,,,,
MOBIL,27789360,,,,,,,,,,,,,,,,,,,,,,,,27789360,,,,,,,,,,,,,,,,,,
MOBHOL,24827788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24827788,
MOBAPP,13894680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13894680,,
MOALSK,76630364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76630364,,,,,
MO,14017088000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14017088000,
MNYTCH,19717500,,,,,,,,,19717500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNVLEN,34685000,,34685000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNTGPA,74775000,,,,,,,,,,,74775000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNTAK,25497171,,,,,,25497171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
MNSTPT,26000000,,26000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNSTPP,700000,,700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNRVIT,110450139,,,,,,,,110450139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNRK,10000000,10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNRBMK,255428,,,,,,,,,,,,,,,,,,,,,,,255428,,,,,,,,,,,,,,,,,,,
MNKS,55496000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55496000,
MNKD,27690000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27690000,
MNK,3855452000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3855452000,
MNINIT,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
MNI,730048000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730048000,
MNHBRG,6000000,,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNDNIN,4210542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4210542,
MNDILN,1226990000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1226990000,
MNDCBZ,12910899,,,,,,,,,,,,,,,,,,,,,,,,12910899,,,,,,,,,,,,,,,,,,
MNCS,2334994,,,,,,,,,,,,2334994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNCGUN,5244110,,,,,,,,,5244110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNBK,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNBIO,8265138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8265138,
MNBCTI,5671000,5671000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMYAOP,1828822,,,,,,,,,,,,,,,,,,,1828822,,,,,,,,,,,,,,,,,,,,,,,
MMTCO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
MMRDEV,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMPPW,229223097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229223097,
MMP,4550000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,4550000000,,,,,,,,,,,,,,
MMOBIL,30105140,,30105140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMM,13455569000,,,,,,,,,,,,,,,13455569000,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMLTIJ,66474630,66474630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMLP,373800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,373800000,,,,,,,,,,,,,,
MMJKPR,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMIN,260429820,,,,,,30409470,,,,,,,,230020350,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMHFIN,18404850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18404850,,,,,
MMGHIT,106827050,,,,,,,,,,,,,,,,,106827050,,,,,,,,,,,,,,,,,,,,,,,,,
MMFSIN,3212274203,,,,3212274203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMCN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
MMCMK,4720653757,,,,,459770400,,,,,,,467433240,3742364517,,,,,,,,,,,,,,,51085600,,,,,,,,,,,,,,
MMCFND,1257227430,,1257227430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMCAPS,49198300,,49198300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMC,5150000000,,,,,,,,,,,,,,,,,,,,,,,5150000000,,,,,,,,,,,,,,,,,,,
MMBLMV,36809700,36809700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMBFP,1601221950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1601221950,
MMANIT,106277290,,,,,,,,,,,,106277290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMAIR,20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000,,,,,,,,
MMAB,214538700,,214538700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLVF,25000000,25000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLUDIS,13376925,,13376925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLTSP,527432725,,,,,,527432725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLTRST,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLTPLN,1560000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1560000000,
MLTHCO,1300000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300000000,
MLTB,52984758,,,,52984758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLTA,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLSRIT,2499340400,,,,,,2499340400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLSGA,12269900,,,,,,,,,,,,,,,,,,,,,,,,12269900,,,,,,,,,,,,,,,,,,
MLSEQF,300000000,,,,,,,,,,,,,,,,,,,,,,300000000,,,,,,,,,,,,,,,,,,,,
