industry_classification,source,sector,sector_ipr,subsector_ipr,sector_dnb,sector_boe,subsector_boe
FI Rel Val-Capital Struc,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
FI Rel Val-Convertible A,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
FI Rel Val-Fixed Income,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Fiduciary Banks,BICS,Other,Finance,Banking,K64,Other,NA
Film Processing,BICS,Other,Consumer Services,Media and Publishing Services,M74,Other,NA
Filtration/Separat Prod,BICS,Other,NA,NA,E39,Other,NA
Finance Companies,BCLASS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Finance-Auto Loans,BICS,Other,Finance,Banking,K64,Other,NA
Finance-Commercial,BICS,Other,Finance,Specialty Finance and Services,K64,Other,NA
Finance-Consumer Loans,BICS,Other,Finance,Banking,K64,Other,NA
Finance-Credit Card,BICS,Other,Finance,Banking,K64,Other,NA
Finance-Invest Bnkr/Brkr,BICS,Other,Finance,Investment Services,K66,Other,NA
Finance-Investment Fund,BICS,Other,Finance,Investment Services,Other,Other,NA
Finance-Leasing Compan,BICS,Other,Finance,Specialty Finance and Services,K64,Other,NA
Finance-Mtge Loan/Banker,BICS,Other,Finance,Real Estate,K64,Other,NA
Finance-Other Services,BICS,Other,Finance,Specialty Finance and Services,K66,Other,NA
Financial Administration,ICB,Other,Finance,Specialty Finance and Services,Other,Other,NA
Financial Guarantee Ins,BICS,Other,Finance,Specialty Finance and Services,K65,Other,NA
Financial Services,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Fire Station Equipment,BCLASS,Other,NA,NA,Other,Other,NA
Firearms&Ammunition,BICS,Other,NA,NA,Other,Other,NA
Fisheries,BICS,Other,Consumer Non-Cyclicals,Food and Tobacco Production,Other,Other,NA
Fixed Line Telecommunications,ICB,Other,Telecommunications,Telecommunications,Other,Other,NA
Flexible Portfolio,BICS,Other,Finance,Investment Services,Other,Other,NA
Flood Control and Storm Drain,BCLASS,Other,NA,NA,Other,Other,NA
FNMA ARM,BICS,Other,Finance,Specialty Finance and Services,L68,Other,NA
FNMA FHAVA,BICS,Other,Finance,Specialty Finance and Services,L68,Other,NA
FNMA Other,BICS,Other,Finance,Specialty Finance and Services,L68,Other,NA
FNMA Relocation 15yr,BICS,Other,Finance,Specialty Finance and Services,L68,Other,NA
FNMA Relocation 30yr,BICS,Other,Finance,Specialty Finance and Services,L68,Other,NA
FNMA Single Family 15yr,BICS,Other,Finance,Specialty Finance and Services,L68,Other,NA
FNMA Single Family 20yr,BICS,Other,Finance,Specialty Finance and Services,L68,Other,NA
FNMA Single Family 30yr,BICS,Other,Finance,Specialty Finance and Services,L68,Other,NA
Food & Beverage,BICS,Other,Consumer Non-Cyclicals,Food and Tobacco Production,Other,Other,NA
Food and Beverage,BCLASS,Other,Consumer Non-Cyclicals,Food and Tobacco Production,Other,Other,NA
Food Products,ICB,Other,Consumer Non-Cyclicals,Food and Tobacco Production,Other,Other,NA
Food Retailers & Wholesalers,ICB,Other,Consumer Non-Cyclicals,Food and Staples Retail,Other,Other,NA
Food-Baking,BICS,Other,Consumer Non-Cyclicals,Food and Tobacco Production,C10,Other,NA
Food-Canned,BICS,Other,Consumer Non-Cyclicals,Food and Tobacco Production,C10,Other,NA
Food-Catering,BICS,Other,Consumer Non-Cyclicals,Food and Tobacco Production,M74,Other,NA
Food-Confectionery,BICS,Other,Consumer Non-Cyclicals,Food and Tobacco Production,C10,Other,NA
Food-Dairy Products,BICS,Other,Consumer Non-Cyclicals,Food and Tobacco Production,C10,Other,NA
Food-Flour&Grain,BICS,Other,Consumer Non-Cyclicals,Food and Tobacco Production,C10,Other,NA
Food-Meat Products,BICS,Other,Consumer Non-Cyclicals,Food and Tobacco Production,C10,Other,NA
Food-Misc/Diversified,BICS,Other,Consumer Non-Cyclicals,Food and Tobacco Production,C10,Other,NA
Food-Retail,BICS,Other,Consumer Non-Cyclicals,Food and Staples Retail,Other,Other,NA
Food-Wholesale/Distrib,BICS,Other,Consumer Non-Cyclicals,Food and Staples Retail,G46,Food logistics,NA
Footwear,ICB,Other,Consumer Cyclicals,Consumer Goods,Other,Other,NA
Footwear&Related Apparel,BICS,Other,Consumer Cyclicals,Consumer Goods,C14,Other,NA
Forest & Paper Products Manufacturing,BICS,Other,Industrials,Industrial Services,Other,Other,NA
Forestry,ICB,Other,Industrials,Industrial Services,Other,Other,NA
Forestry,BICS,Other,Industrials,Industrial Services,Other,Other,NA
Full Line Insurance,ICB,Other,Finance,Insurance,Other,Other,NA
Funds & Trusts,BICS,Other,Finance,Investment Services,Other,Other,NA
Funeral Serv&Rel Items,BICS,Other,Business Services,Business Services,M74,Other,NA
Furnishings,ICB,Other,Consumer Cyclicals,Consumer Goods,Other,Other,NA
Gambling,ICB,Other,Consumer Services,Hospitality Services,Other,Other,NA
Gambling (Non-Hotel),BICS,Other,Consumer Services,Hospitality Services,R92,Other,NA
Gaming,BCLASS,Other,Consumer Services,Hospitality Services,Other,Other,NA
Gaming & Entertainment,BICS,Other,Consumer Services,Hospitality Services,Other,Other,NA
Garden Products,BICS,Other,Consumer Cyclicals,Consumer Goods,Other,Other,NA
Gas,BCLASS,Other,Energy,Upstream Energy,Other,Other,NA
Gas Distribution,ICB,Other,Energy,Downstream and Midstream Energy,Other,Other,NA
Gas-Distribution,BICS,Other,Energy,Downstream and Midstream Energy,D35,Other,NA
Gas-Transportation,BICS,Other,Energy,Downstream and Midstream Energy,D35,Other,NA
General Mining,ICB,Other,Non-Energy Materials,Mining and Mineral Products,Other,Materials,Other
"General Purpose, Public Improvements",BCLASS,Other,NA,NA,Other,Other,NA
Geo Focus-Debt,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Geo Focused-Asset Alloc,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Geo Focus-Equity,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Global Asset Allocation,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Global Debt,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Global Equity,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Global Macro,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
GNMA 15 Yr,BCLASS,Other,Finance,Specialty Finance and Services,Other,Other,NA
GNMA 30 Yr,BCLASS,Other,Finance,Specialty Finance and Services,Other,Other,NA
GNMA Buydown,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
GNMA Graduated Payment,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
GNMA Project Loan,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
GNMA Single Family 15yr,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
GNMA Single Family 30yr,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
GNMA2 ARM,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
GNMA2 Mobile Home,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
GNMA2 Other,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
GNMA2 Single Family 15yr,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
GNMA2 Single Family 30yr,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Gold Mining,ICB,Other,Non-Energy Materials,Mining and Mineral Products,Other,Materials,Other
Gold Mining,BICS,Other,Non-Energy Materials,Mining and Mineral Products,Other,Materials,Other
Golf,BICS,Other,Consumer Services,Hospitality Services,Other,Other,NA
Government Agencies,BICS,Other,NA,NA,Other,Other,NA
Government and Public Buildings,BCLASS,Other,NA,NA,Other,Other,NA
Government Development Banks,BICS,Other,NA,NA,Other,Other,NA
Government Guaranteed,BCLASS,Other,NA,NA,Other,Other,NA
"Government Owned, No Guarantee",BCLASS,Other,NA,NA,Other,Other,NA
Government Regional,BICS,Other,NA,NA,Other,Other,NA
Government Sponsored,BCLASS,Other,NA,NA,Other,Other,NA
Government/Agency,BICS,Other,NA,NA,Other,Other,NA
Government/Agency-LT,BICS,Other,NA,NA,Other,Other,NA
Government/Corporate,BICS,Other,NA,NA,Other,Other,NA
Govt/Agency-Inter Term,BICS,Other,NA,NA,Other,Other,NA
Govt/Agency-Inter/LT,BICS,Other,NA,NA,Other,Other,NA
Govt/Agency-Short Term,BICS,Other,NA,NA,Other,Other,NA
Govt/Agency-ST/Inter,BICS,Other,NA,NA,Other,Other,NA
Govt/Agency-Target Term,BICS,Other,NA,NA,Other,Other,NA
Govt/Corp High Yield,BICS,Other,NA,NA,Other,Other,NA
Govt/Corp Intermediate,BICS,Other,NA,NA,Other,Other,NA
Govt/Corp Long Term,BICS,Other,NA,NA,Other,Other,NA
Govt/Corp Short Term,BICS,Other,NA,NA,Other,Other,NA
Growth,BICS,Other,NA,NA,Other,Other,NA
Growth & Income,BICS,Other,NA,NA,Other,Other,NA
Growth & Income-Mid Cap,BICS,Other,NA,NA,Other,Other,NA
Growth&Income-Large Cap,BICS,Other,NA,NA,Other,Other,NA
Growth&Income-Small Cap,BICS,Other,NA,NA,Other,Other,NA
Growth-Large Cap,BICS,Other,NA,NA,Other,Other,NA
Growth-Mid Cap,BICS,Other,NA,NA,Other,Other,NA
Growth-Small Cap,BICS,Other,NA,NA,Other,Other,NA
Hardware,BICS,Other,Technology,Hardware,Other,Other,NA
Hazardous Waste Disposal,BICS,Other,NA,NA,E38,Other,NA
Health & Biotechnology,BICS,Other,Healthcare,Biopharmaceuticals,Other,Other,NA
Health Care Cost Contain,BICS,Other,Healthcare,Healthcare Services,Other,Other,NA
Health Care Facilities & Services,BICS,Other,Healthcare,Healthcare Services,Other,Other,NA
Health Care Providers,ICB,Other,Healthcare,Healthcare Services,Other,Other,NA
Health Insurance,BCLASS,Other,Finance,Insurance,Other,Other,NA
Healthcare,BCLASS,Other,Healthcare,Healthcare Services,Other,Other,NA
Healthcare REITs,BCLASS,Other,Finance,Real Estate,Other,Real estate,NA
Healthcare Safety Device,BICS,Other,Healthcare,Healthcare Equipment,Other,Other,NA
Heart Monitors,BICS,Other,Healthcare,Healthcare Equipment,Other,Other,NA
Heavy Construction,ICB,Other,Industrials,Industrial Services,Other,Other,NA
Higher Education,BCLASS,Other,NA,NA,Other,Other,NA
Home & Office Products Manufacturing,BICS,Other,Industrials,Industrial Manufacturing,Other,Other,NA
Home Construction,ICB,Other,Industrials,Industrial Services,Other,Other,NA
Home Decoration Products,BICS,Other,Consumer Cyclicals,Consumer Goods,Other,Other,NA
Home Equity,BCLASS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Home Equity Other,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Home Equity Sequential,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Home Furnishings,BICS,Other,Consumer Cyclicals,Consumer Goods,C31,Other,NA
Home Improvement,BICS,Other,Consumer Cyclicals,Consumer Goods,Other,Other,NA
Home Improvement Retailers,ICB,Other,Consumer Cyclicals,Consumer Goods,Other,Other,NA
Homebuilders,BICS,Other,Industrials,Industrial Services,Other,Other,NA
Hospital Beds/Equipment,BICS,Other,Healthcare,Healthcare Equipment,Other,Other,NA
Hospitals,BCLASS,Other,Healthcare,Healthcare Services,Other,Other,NA
Hotel & Lodging REITs,ICB,Other,Consumer Services,Hospitality Services,Other,Real estate,NA
Hotels,ICB,Other,Consumer Services,Hospitality Services,Other,Real estate,NA
Hotels&Motels,BICS,Other,Consumer Services,Hospitality Services,I55,Real estate,NA
Housewares,BICS,Other,Consumer Cyclicals,Consumer Goods,Other,Other,NA
Housing Authority,BICS,Other,NA,NA,L68,Other,NA
Human Resources,BICS,Other,NA,NA,N78,Other,NA
Hybrid Non-Pfandbriefe,BCLASS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Identification Sys/Dev,BICS,Other,NA,NA,Other,Other,NA
Import/Export,BICS,Other,NA,NA,Other,Other,NA
Inactive/Unknown,BICS,Other,NA,NA,Other,Other,NA
Income Equity,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Independ Power Producer,BICS,Other,NA,NA,D35,Other,NA
Independent,BCLASS,Other,NA,NA,Other,Other,NA
Index Fund,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Index Fund-Debt,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Index Fund-Equity,BCLASS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Index Fund-Large Cap,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Index Fund-Mid Cap,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Index Fund-Small Cap,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Index Futures,BCLASS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Indian Subcontinent,BICS,Other,NA,NA,Other,Other,NA
Industr Audio&Video Prod,BICS,Other,Industrials,Industrial Manufacturing,Other,Other,NA
Industrial & Office REITs,ICB,Other,Finance,Real Estate,Other,Real estate,NA
Industrial Automat/Robot,BICS,Other,Industrials,Industrial Manufacturing,Other,Other,NA
Industrial Development,BCLASS,Other,Industrials,Industrial Manufacturing,Other,Other,NA
Industrial Gases,BICS,Other,Industrials,Industrial Manufacturing,C20,Other,NA
Industrial Machinery,ICB,Other,Industrials,Industrial Manufacturing,Other,Other,NA
Industrial Other,BICS,Other,Industrials,Industrial Manufacturing,Other,Other,NA
Industrial Suppliers,ICB,Other,Industrials,Industrial Services,Other,Other,NA
Institut Only-Second,BICS,Other,NA,NA,Other,Other,NA
Institutions Only-Natl,BICS,Other,NA,NA,Other,Other,NA
Instruments-Controls,BICS,Other,NA,NA,C27,Other,NA
Instruments-Scientific,BICS,Other,NA,NA,C27,Other,NA
Insurance Brokers,ICB,Other,Finance,Insurance,K65,Other,NA
Insurance Brokers,BICS,Other,Finance,Insurance,K65,Other,NA
Integrated,BCLASS,Other,NA,NA,Other,Other,NA
Integrated Oil & Gas,ICB,Oil&Gas,Energy,Integrated Oil and Gas Exploration and Production,Other,Oil&Gas,NA
Integrated Oils,BICS,Oil&Gas,Energy,Integrated Oil and Gas Exploration and Production,Other,Oil&Gas,NA
Interior Design/Architec,BICS,Other,NA,NA,M71,Other,NA
International Debt,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
International Equity,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Internet,ICB,Other,Telecommunications,Telecommunications,Other,Other,NA
Internet & Telecom,BICS,Other,Telecommunications,Telecommunications,Other,Other,NA
Internet Applic Sftwr,BICS,Other,Telecommunications,Telecommunications,Other,Other,NA
Internet Brokers,BICS,Other,Telecommunications,Telecommunications,K64,Other,NA
Internet Connectiv Svcs,BICS,Other,Telecommunications,Telecommunications,J63,Other,NA
Internet Content-Entmnt,BICS,Other,Telecommunications,Telecommunications,J63,Other,NA
Internet Content-Info/Ne,BICS,Other,Telecommunications,Telecommunications,J63,Other,NA
Internet Financial Svcs,BICS,Other,Telecommunications,Telecommunications,Other,Other,NA
Internet Gambling,BICS,Other,Telecommunications,Telecommunications,R92,Other,NA
Internet Incubators,BICS,Other,Telecommunications,Telecommunications,K64,Other,NA
Internet Infrastr Equip,BICS,Other,Telecommunications,Telecommunications,Other,Other,NA
Internet Infrastr Sftwr,BICS,Other,Telecommunications,Telecommunications,Other,Other,NA
Internet Media,BICS,Other,Telecommunications,Telecommunications,Other,Other,NA
Internet Security,BICS,Other,Telecommunications,Telecommunications,Other,Other,NA
Internet Telephony,BICS,Other,Telecommunications,Telecommunications,Other,Other,NA
Intimate Apparel,BICS,Other,Consumer Cyclicals,Consumer Goods,C14,Other,NA
Intl Asset Allocation,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Invest Comp - Resources,BICS,Other,Finance,Investment Services,K64,Other,NA
Invest Mgmnt/Advis Serv,BICS,Other,Finance,Investment Services,K66,Other,NA
Investment Companies,BICS,Other,Finance,Investment Services,K64,Other,NA
Investment Services,ICB,Other,Finance,Investment Services,Other,Other,NA
Iron & Steel,ICB,Steel,NA,NA,Other,Steel,NA
Iron & Steel Foundry,BICS,Steel,NA,NA,Other,Steel,NA
Irrigation,BCLASS,Other,NA,NA,Other,Other,NA
Land Preservation,BCLASS,Other,NA,NA,Other,Other,NA
Lasers-Syst/Components,BICS,Other,Technology,Electronic Components and Manufacturing,C27,Other,NA
Leisure,BCLASS,Other,Consumer Services,Hospitality Services,Other,Other,NA
Leisure Industry,BICS,Other,Consumer Services,Hospitality Services,Other,Other,NA
Leisure Products Manufacturing,BICS,Other,Consumer Services,Hospitality Services,Other,Other,NA
Leisure&Rec Products,BICS,Other,Consumer Services,Hospitality Services,Other,Other,NA
Leisure&Rec/Games,BICS,Other,Consumer Services,Hospitality Services,R93,Other,NA
Libraries and Museums,BCLASS,Other,Consumer Services,Hospitality Services,Other,Other,NA
Life,BCLASS,Other,NA,NA,Other,Other,NA
Life Insurance,ICB,Other,Finance,Insurance,Other,Other,NA
Life Insurance,BICS,Other,Finance,Insurance,Other,Other,NA
Life/Health Insurance,BICS,Other,Finance,Insurance,K65,Other,NA
Lifecare Retirement Centers,BCLASS,Other,Healthcare,Healthcare Services,Other,Other,NA
Lighting Products&Sys,BICS,Other,Technology,Electronic Components and Manufacturing,C27,Other,NA
Linen Supply&Rel Items,BICS,Other,Consumer Cyclicals,Consumer Goods,Other,Other,NA
Local Authority,BCLASS,Other,NA,NA,Other,Other,NA
Lodging,BCLASS,Other,Consumer Services,Hospitality Services,Other,Other,NA
Lottery Services,BICS,Other,NA,NA,Other,Other,NA
Mach Tools&Rel Products,BICS,Other,Non-Energy Materials,Manufactured Products,Other,Other,NA
Machinery Manufacturing,BICS,Other,Non-Energy Materials,Manufactured Products,Other,Other,NA
Machinery-Constr&Mining,BICS,Other,Non-Energy Materials,Manufactured Products,C28,Other,NA
Machinery-Electric Util,BICS,Other,Non-Energy Materials,Manufactured Products,C27,Other,NA
Machinery-Electrical,BICS,Other,Non-Energy Materials,Manufactured Products,C28,Other,NA
Machinery-Farm,BICS,Other,Non-Energy Materials,Manufactured Products,C28,Other,NA
Machinery-General Indust,BICS,Other,Non-Energy Materials,Manufactured Products,C28,Other,NA
Machinery-Material Handl,BICS,Other,Non-Energy Materials,Manufactured Products,C28,Other,NA
Machinery-Print Trade,BICS,Other,Non-Energy Materials,Manufactured Products,C28,Other,NA
Machinery-Pumps,BICS,Other,Non-Energy Materials,Manufactured Products,C28,Other,NA
Machinery-Therml Process,BICS,Other,Non-Energy Materials,Manufactured Products,C28,Other,NA
Malls and Shopping Centers,BCLASS,Other,Consumer Cyclicals,Consumer Retail,Other,Other,NA
Managed Care,BICS,Other,Healthcare,Healthcare Services,Other,Other,NA
Manufact Hous ABS Other,BICS,Other,Non-Energy Materials,Manufactured Products,Other,Other,NA
Manufact Hous Sequential,BICS,Other,Non-Energy Materials,Manufactured Products,Other,Other,NA
Manufactured Goods,BICS,Other,Non-Energy Materials,Manufactured Products,Other,Other,NA
Manufactured Housing,BCLASS,Other,Non-Energy Materials,Manufactured Products,Other,Other,NA
Marine Services,BICS,Other,NA,NA,H50,Other,NA
Marine Transportation,ICB,Shipping,NA,NA,Other,Shipping,NA
Market Neutral-Equity,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Mass & Rapid Transit,BCLASS,Other,NA,NA,Other,Other,NA
Mass and Rapid Transit,BCLASS,Other,NA,NA,Other,Other,NA
Mass Merchants,BICS,Other,Consumer Cyclicals,Miscellaneous Retail,Other,Other,NA
Media Agencies,ICB,Other,Consumer Services,Media and Publishing Services,Other,Other,NA
Media Entertainment,BCLASS,Other,Consumer Services,Media and Publishing Services,Other,Other,NA
Medical Equipment,ICB,Other,Healthcare,Healthcare Equipment,Other,Other,NA
Medical Equipment & Devices Manufacturing,BICS,Other,Healthcare,Healthcare Equipment,Other,Other,NA
Medical Imaging Systems,BICS,Other,Healthcare,Healthcare Equipment,Other,Other,NA
Medical Information Sys,BICS,Other,Healthcare,Healthcare Equipment,Other,Other,NA
Medical Instruments,BICS,Other,Healthcare,Healthcare Equipment,Other,Other,NA
Medical Labs&Testing Srv,BICS,Other,Healthcare,Healthcare Equipment,Q86,Other,NA
Medical Laser Systems,BICS,Other,Healthcare,Healthcare Equipment,Other,Other,NA
Medical Products,BICS,Other,Healthcare,Healthcare Equipment,Other,Other,NA
Medical Steriliz Product,BICS,Other,Healthcare,Healthcare Equipment,Other,Other,NA
Medical Supplies,ICB,Other,Healthcare,Healthcare Equipment,Other,Other,NA
Medical-Biomedical/Gene,BICS,Other,Healthcare,Healthcare Equipment,Q86,Other,NA
Medical-Drugs,BICS,Other,Healthcare,Healthcare Equipment,C21,Other,NA
Medical-Generic Drugs,BICS,Other,Healthcare,Healthcare Equipment,C21,Other,NA
Medical-HMO,BICS,Other,Healthcare,Healthcare Services,Other,Other,NA
Medical-Hospitals,BICS,Other,Healthcare,Healthcare Services,Q86,Other,NA
Medical-Nursing Homes,BICS,Other,Healthcare,Healthcare Services,Q87,Other,NA
Medical-Outptnt/Home Med,BICS,Other,Healthcare,Healthcare Services,Q86,Other,NA
Medical-Whsle Drug Dist,BICS,Other,Healthcare,Healthcare Services,C21,Other,NA
Metal Processors&Fabrica,BICS,Other,Non-Energy Materials,Mining and Mineral Products,C25,Other,NA
Metal Products-Distrib,BICS,Other,Non-Energy Materials,Mining and Mineral Products,C25,Other,NA
Metal Products-Fasteners,BICS,Other,Non-Energy Materials,Mining and Mineral Products,C25,Other,NA
Metal Svc Center & Other Whslrs,BICS,Other,Non-Energy Materials,Mining and Mineral Products,Other,Other,NA
Metal-Aluminum,BICS,Other,Non-Energy Materials,Mining and Mineral Products,C25,Materials,Other
Metal-Copper,BICS,Other,Non-Energy Materials,Mining and Mineral Products,Other,Materials,Other
Metal-Diversified,BICS,Steel,NA,NA,Other,Steel,NA
Metal-Iron,BICS,Steel,NA,NA,Other,Steel,NA
Metals & Mining,BICS,Other,Non-Energy Materials,Mining and Mineral Products,Other,Materials,Other
Metals & Ore Whslrs & Traders,BICS,Other,Non-Energy Materials,Mining and Mineral Products,Other,Other,NA
Metals and Mining,BCLASS,Other,Non-Energy Materials,Mining and Mineral Products,Other,Materials,Other
"Metals, Minerals and Materials",BCLASS,Other,Non-Energy Materials,Mining and Mineral Products,Other,Other,NA
Mgd Futures,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Midstream,BCLASS,Other,Energy,Downstream and Midstream Energy,Other,Other,NA
Military Housing,BCLASS,Other,NA,NA,Other,Other,NA
Mining Services,BICS,Other,Non-Energy Materials,Mining and Mineral Products,Other,Other,NA
Miscellaneous Manufactur,BICS,Other,Non-Energy Materials,Manufactured Products,C33,Other,NA
Mobile Homes,BCLASS,Other,NA,NA,Other,Other,NA
Mobile Telecommunications,ICB,Other,Telecommunications,Telecommunications,Other,Other,NA
Money Center Banks,BICS,Other,Finance,Banking,K64,Other,NA
Mortgage Banks,BICS,Other,Finance,Banking,K64,Other,NA
Mortgage Finance,ICB,Other,Finance,Specialty Finance and Services,Other,Other,NA
Mortgage Non Pfandbriefe,BCLASS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Mortgage REITs,ICB,Other,Finance,Real Estate,Other,Real estate,NA
Motion Pictures&Services,BICS,Other,Consumer Services,Media and Publishing Services,J59,Other,NA
Motorcycle/Motor Scooter,BICS,Other,Consumer Cyclicals,Consumer Vehicles and Parts,C29,Other,NA
MRI Equipment,BICS,Other,Healthcare,Healthcare Equipment,Other,Other,NA
MRI/Medical Diag Imaging,BICS,Other,Healthcare,Healthcare Equipment,Q86,Other,NA
Multi-Family Housing,BCLASS,Other,Finance,Real Estate,Other,Other,NA
Multilevel Dir Selling,BICS,Other,Business Services,Business Services,G47,Other,NA
Multi-line Insurance,BICS,Other,Finance,Insurance,K65,Other,NA
Multimedia,BICS,Other,Consumer Services,Media and Publishing Services,J59,Other,NA
Multi-Strat/Style,BICS,Other,NA,NA,Other,Other,NA
Multiutilities,ICB,Power,Utilities,Utilities,Other,Power,NA
Muni-California,BICS,Other,NA,NA,Other,Other,NA
Municipal,BICS,Other,NA,NA,Other,Other,NA
Municipal-City,BICS,Other,NA,NA,Other,Other,NA
Municipal-County,BICS,Other,NA,NA,Other,Other,NA
Municipal-Education,BICS,Other,NA,NA,P85,Other,NA
Municipal-Local Auth,BICS,Other,NA,NA,Other,Other,NA
Municipal-Title XI,BICS,Other,NA,NA,H52,Other,NA
Muni-New York,BICS,Other,NA,NA,Other,Other,NA
Music,BICS,Other,Consumer Services,Media and Publishing Services,J59,Other,NA
Mutual Insurance,BICS,Other,Finance,Insurance,K65,Other,NA
NA,BICS,Other,NA,NA,Other,Other,NA
Natural Gas,BCLASS,Oil&Gas,Energy,Upstream Energy,Other,Oil&Gas,NA
Networking Products,BICS,Other,NA,NA,Other,Other,NA
"New, Public Housing",BCLASS,Other,Finance,Real Estate,Other,Other,NA
Night Clubs,BICS,Other,Consumer Services,Hospitality Services,R90,Other,NA
No Mapping Available,BICS,Other,NA,NA,Other,Other,NA
Non Agency CMBS,BCLASS,Other,NA,NA,Other,Other,NA
Non Wood Building Materials,BICS,Other,Industrials,Industrial Manufacturing,Other,Other,NA
Non-Captive Consumer Finance,BCLASS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Non-Captive Diversified Finance,BCLASS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Nondurable Household Products,ICB,Other,Consumer Non-Cyclicals,Household Products,Other,Other,NA
Nonequity Investment Instruments,ICB,Other,Finance,Investment Services,Other,Other,NA
Nonferrous Metals,ICB,Other,Non-Energy Materials,Mining and Mineral Products,Other,Materials,Other
Non-Ferrous Metals,BICS,Other,Non-Energy Materials,Mining and Mineral Products,Other,Materials,Other
Non-hazardous Waste Disp,BICS,Other,NA,NA,E38,Other,NA
Non-Profit Charity,BICS,Other,NA,NA,M74,Other,NA
Not Classified,BCLASS,Other,NA,NA,Other,Other,NA
Nursing Homes,BCLASS,Other,Healthcare,Healthcare Services,Other,Other,NA
Office Automation&Equip,BICS,Other,NA,NA,Other,Other,NA
Office Buildings and Land Partners,BCLASS,Other,NA,NA,Other,Other,NA
Office Furnishings-Orig,BICS,Other,NA,NA,C31,Other,NA
Office REITs,BCLASS,Other,Finance,Real Estate,Other,Real estate,NA
Office Supplies&Forms,BICS,Other,NA,NA,Other,Other,NA
Oil & Gas Services & Equipment,BICS,Other,Energy,Downstream and Midstream Energy,Other,Other,NA
Oil Comp-Explor&Prodtn,BICS,Oil&Gas,Energy,Upstream Energy,Other,Oil&Gas,NA
Oil Comp-Integrated,BICS,Oil&Gas,Energy,Integrated Oil and Gas Exploration and Production,Other,Oil&Gas,NA
Oil Equipment & Services,ICB,Other,NA,NA,Other,Other,NA
Oil Field Mach&Equip,BICS,Other,NA,NA,Other,Other,NA
Oil Field Services,BCLASS,Other,NA,NA,Other,Other,NA
Oil Refining&Marketing,BICS,Oil&Gas,Energy,Downstream and Midstream Energy,Other,Oil&Gas,NA
Oil&Gas Drilling,BICS,Other,Energy,Upstream Energy,Other,Other,NA
Oil-Field Services,BICS,Other,Energy,Upstream Energy,Other,Other,NA
Oil-US Royalty Trusts,BICS,Other,NA,NA,Other,Other,NA
Open-End Fund,BCLASS,Other,Finance,Investment Services,Other,Other,NA
Optical Recognition Equi,BICS,Other,Technology,Electronic Components and Manufacturing,Other,Other,NA
Optical Supplies,BICS,Other,Technology,Electronic Components and Manufacturing,Other,Other,NA
Options,BCLASS,Other,Technology,Electronic Components and Manufacturing,Other,Other,NA
Other ABS,BICS,Other,Technology,Electronic Components and Manufacturing,Other,Other,NA
Other Education,BCLASS,Other,NA,NA,Other,Other,NA
Other Financial,BCLASS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Other Governmental Public Services,BCLASS,Other,NA,NA,Other,Other,NA
